year,score,votes,budget,gross,runtime,PG,PG-13,R,Action,Adventure,Comedy,Crime,Drama,Horror
1980,4.0,546.0,5100000.0,59167.0,94.0,0,0,1,0,0,0,0,1,0
1980,4.8,643.0,20000000.0,2128395.0,96.0,0,0,1,0,0,0,0,1,0
1980,5.2,351.0,20000000.0,2806659.0,97.0,1,0,0,0,0,1,0,0,0
1980,5.2,2100.0,20000000.0,14504277.0,94.0,1,0,0,0,0,1,0,0,0
1980,6.5,269.0,20000000.0,804713.0,105.0,0,0,1,0,0,1,0,0,0
1980,5.8,1900.0,20000000.0,6950125.0,102.0,0,0,1,0,0,1,0,0,0
1980,4.3,740.0,20000000.0,6621520.0,89.0,0,0,1,0,0,1,0,0,0
1980,6.8,599.0,20000000.0,2261507.0,96.0,0,0,1,0,0,1,0,0,0
1980,6.5,211.0,20000000.0,1175855.0,105.0,1,0,0,0,0,1,0,0,0
1980,4.3,593.0,20000000.0,15198912.0,97.0,0,0,1,0,0,1,0,0,0
1980,6.7,230.0,20000000.0,19739822.5,89.0,0,0,0,1,0,0,0,0,0
1981,8.4,905000.0,18000000.0,389925971.0,115.0,1,0,0,1,0,0,0,0,0
1981,7.4,32000.0,20000000.0,24058838.0,113.0,0,0,1,0,0,0,1,0,0
1981,7.5,97000.0,10000000.0,30669378.0,97.0,0,0,1,0,0,1,0,0,0
1981,7.2,131000.0,6000000.0,25244626.0,99.0,0,0,1,1,0,0,0,0,0
1981,6.2,40000.0,2500000.0,111289673.0,94.0,0,0,1,0,0,1,0,0,0
1981,7.4,47000.0,18000000.0,12000000.0,108.0,0,0,1,0,0,0,1,0,0
1981,6.9,42000.0,15000000.0,41092328.0,118.0,1,0,0,1,0,0,0,0,0
1981,7.4,59000.0,11000000.0,34971136.0,140.0,0,0,1,0,1,0,0,0,0
1981,7.6,170000.0,3000000.0,23668369.0,96.0,0,0,1,1,0,0,0,0,0
1981,8.3,237000.0,20000000.0,11487676.0,149.0,0,0,0,0,1,0,0,0,0
1981,6.9,68000.0,10000000.0,85297000.0,106.0,0,0,1,0,0,1,0,0,0
1981,7.4,27000.0,20000000.0,1113538.0,124.0,0,0,1,0,0,0,0,1,0
1981,6.2,34000.0,18000000.0,72179579.0,95.0,1,0,0,1,0,0,0,0,0
